投资金额及投资人,投资金额：1200万美元投资人：__及其关联基金
发行价格,原购买价是基于投资后完全稀释股本基础上的估值（简称“投资后估值”）确定的，投资后公司在完全稀释股本基础上的估值是100,000,000美元。如果[]作为本轮唯一投资人，【】将投资10,000,000美元，获得公司完全稀释股本基础上的10.00%股权。公司允许获得额外不超过5,000,000美元的其他投资，由此，公司的投资前估值应予以相应调整，而投资后估值保持100,000,000美元不变。任何情况下，【】投资的10,000,000美元应获得投资后公司完全稀释股权基础上的10.00%股权。
赎回权,在如下任意事件发生时，经持有超过2/3A轮优先股的股东的要求，公司应当赎回部分或所有的A轮优先股，回购价格为原购买价的100%加上自交割之日起A轮优先股发行在外期间每年6%的回报率以及所有已经分配但未支付的股息：投资交割的6周年日（若未发生合格上市）；或任何集团公司或者创始人在交易文件下的重大违约。
优先清算权,如果公司出现清算、解散或者终止的情况，清算后公司可分配资金和资产应当按照如下顺序分配：在向任何其它公司股份清算前，公司应当先向每股A轮优先股支付原购买价的100%加上A轮优先股已经分配但未支付的股息。在对A轮优先股持有人清偿完毕前述优先额后，公司应向其他优先股持有人按照公司现有股东协议中的清算机制支付相应清算优先额。在支付完所有清算有限额后，剩余可分配的资金和资产将按照各股东股权比例（完全稀释和完全转换的基础上）分配给各股东。
反摊薄条款,在拆股、发放股息、合股、重整的情况下股权比例相应调整。如果公司以低于当时的A轮优先股转换价格的价格发行任何公司证券（员工的期权及其他惯常例外除外），为了反摊薄，A轮优先股的转换价格应当按照广义加权平均公式进行调整。具体的公式请见附件Ｂ。
董事会,交割时，公司的董事会（简称“董事会”）中应有当由5名成员构成，其中包括3名成员由创始人指派，1名成员由【】指派（简称“【】董事”），但前提是【】在公司的持股比例不低于公司全部股权的6%。 当投资人如是要求时，集团公司（除公司以外）的董事会构成应当尽可能与董事会保持一致。
创始人股份的限制,创始人持有的合计5,000,000普通股股份受限于应受制于等待期。该等5,000,000股普通股股份从交割起每个月可以兑现1/48，交割后四周年时完全兑现完毕。
其它条款,其它列在附件Ｂ中的条款也应当适用。
排他期,公司承诺诚信善意地尽快推进交割。公司和创始人承诺在本主要条款签署后的45个日历日内，公司和创始人不得发起，寻求，鼓励，讨论，协商或者接受任何除来自投资人的与公司发行股份，或者兼并，出售，授权或者其它出售公司重大股权或者资产相关的要约。公司和创始人若接到任何第三方有关前述事项的问讯时，应当立即通知投资人。
保密,除了投资人可以向他的顾问、会计或其他代表披露，本主要条款约定的内容包括本主要条款的存在都是保密信息不得向第三方披露，但是该等获得信息的投资人的顾问、会计或其他代表应当也同意保密所获得的信息。
费用,除非交割因可归责于投资人的原因未能完成，公司应当补偿投资人在投资中为准备法律文件及相关专业工作而实际产生和支付的所有的法律、会计等费用和支出。尽管如此，公司应当补偿投资人的费用不应超过美金30,000元。为了避免歧义，如果投资因可归责于公司的原因（而非投资人原因）未能完成，公司应承担所有投资人因投资而产生的一切法律费用和支出；如果投资人非因合理理由终止投资的，投资人因投资而产生的一切法律费用和支出应由投资人承担。
适用法律和仲裁,本主要条款应当适用香港法。若发生任何争议，任何一方有权将相关争议递交香港国际仲裁中心进行仲裁。仲裁应在香港进行，仲裁语言为英语。仲裁裁决具有终局性且对各方有约束力。
过期,如果本主要条款在北京时间2017年6月20日之前未被双方签署，则本主要条款在无需任何一方进一步的通知下直接过期。
陈述与保证,公司和创始人（简称“保证人”）应在包括但不限于如下方面，连带地做出陈述和保证：公司合法成立及有效存续；股权架构；获得相关方面的批准；有效的股票发行； 拥有必需的政府批文；没有不利于公司的诉讼；拥有公司知识产权； 遵守劳动法；有权使用全部资产；税收申报和公司记录完整；财务报表准确； 无不利改变；重大合同;保证完整披露。
交割条件,交割应当于惯例性的交割条件满足后发生，包括但不限于：令投资人满意的最终协议的签署（包括：股权购买协议，股东协议，限制性股票协议，赔偿协议和其它投资所需文件）；格式和内容都令投资人满意的公司章程或其它章程性文件已经被公司批准；投资人对财务、商业和法律尽职调查结果满意；每个创始人和关键员工已经签署符合投资人合理要求的劳动合同，不竞争和协议、保密协议和知识产权转让协议；公司的良好存续证明；公司获得进行投资的授权；每个集团公司已经获得所有必要的第三方包括相关政府机关的同意或者批准（如适用）；递交标准的交割证明；投资人合理和常规要求的其它常规交割条件。
